model_name,model_path,dataset_path,num_samples,QWK,BalAcc,Macro_F1,Macro_AUROC,Inference_ms
vgg16_bn,E:/sp/code/code/saved_models/vgg16_bn_fold0/best_model.pth,E:/ACNE04,1165,0.2969679490558116,0.31061538283419593,0.307243766945035,0.6538563336829957,2.539240784184105
resnet50,E:/sp/code/code/saved_models/resnet50_fold0/best_model.pth,E:/ACNE04,1165,0.006962306317763733,0.26177520370740603,0.20321401695217695,0.6064875995018193,2.181476125350365
efficientnet_v2_s,E:/sp/code/code/saved_models/efficientnet_v2_s_fold0/best_model.pth,E:/ACNE04,1165,0.0537605415259198,0.26649079666259406,0.196767871307357,0.5676071075508438,1.6324020565919222
convnext_tiny,E:/sp/code/code/saved_models/convnext_tiny_fold0/best_model.pth,E:/ACNE04,1165,0.18531514438776298,0.2880601563413625,0.28144149439140603,0.617342620081692,1.8716300072888077
densenet121,E:/sp/code/code/saved_models/densenet121_fold0/best_model.pth,E:/ACNE04,1165,0.07325146567697105,0.27447082577666576,0.2092037782132526,0.6137538111456677,2.7116262615346614
regnet_y_8gf,E:/sp/code/code/saved_models/regnet_y_8gf_fold0/best_model.pth,E:/ACNE04,1165,0.1639506259033423,0.31291589985597335,0.2655421256118363,0.6484759326399252,4.147989307520543
mobilenet_v3_large,E:/sp/code/code/saved_models/mobilenet_v3_large_fold0/best_model.pth,E:/ACNE04,1165,0.1627452257190768,0.3026490309513402,0.2905571400660118,0.6694579701262491,1.6419242238800145
vit_small_patch16_224,E:/sp/code/code/saved_models/vit_small_patch16_224_fold0/best_model.pth,E:/ACNE04,1165,0.5482717299612869,0.45538109587015313,0.4650369995079283,0.7892441000010242,0.3652930600479586
swin_tiny_patch4_window7_224,E:/sp/code/code/saved_models/swin_tiny_patch4_window7_224_fold0/best_model.pth,E:/ACNE04,1165,0.5589360929609813,0.4584073084456489,0.4711108412812236,0.7563808626250681,0.27867697814398146
deit_small_patch16_224,E:/sp/code/code/saved_models/deit_small_patch16_224_fold0/best_model.pth,E:/ACNE04,1165,0.3024016360973183,0.3775904711182072,0.314223048701032,0.6753261085093151,0.13460984101166595
