model,fold,epoch,train_loss,val_loss,val_acc,precision,recall,f1_score,lr,elapsed
densenet121,0,0,1.3683882090353197,1.2023659521533596,0.5161290322580645,nan,0.25,0.1702127659574468,0.001, 0 hr 01 min
densenet121,0,1,1.1620077802288917,1.2092564298260597,0.5032258064516129,nan,0.24375,0.167381974248927,0.001, 0 hr 03 min
densenet121,0,2,1.179216064176252,1.1874179224814139,0.5032258064516129,nan,0.2481382978723404,0.18480678915712287,0.001, 0 hr 05 min
densenet121,0,3,1.1709206627261255,1.1566819067924254,0.5032258064516129,nan,0.24594414893617023,0.17647058823529413,0.001, 0 hr 06 min
densenet121,0,4,1.1404447963160853,1.123213937205653,0.5161290322580645,nan,0.2543882978723404,0.18843901196842372,0.001, 0 hr 08 min
densenet121,0,5,1.0839179485074935,1.1016880427637408,0.5290322580645161,nan,0.2716090425531915,0.22725225225225226,0.001, 0 hr 10 min
densenet121,0,6,1.0725799410573897,1.0852015710646106,0.5483870967741935,nan,0.2787898936170213,0.22855426511814175,0.001, 0 hr 11 min
densenet121,0,7,1.049156322786885,1.0799420187550206,0.535483870967742,nan,0.26595744680851063,0.20257193786605554,0.001, 0 hr 13 min
densenet121,0,8,1.034561780575783,1.0566427861490557,0.49032258064516127,nan,0.26602393617021275,0.23660471029848038,0.001, 0 hr 15 min
densenet121,0,9,1.014959034996648,1.0438759942208566,0.5419354838709678,nan,0.2712765957446808,0.21247563352826512,0.001, 0 hr 16 min
densenet121,0,10,1.0192982865918068,1.0299943108712473,0.5419354838709678,nan,0.2778590425531915,0.23158519397670796,0.001, 0 hr 18 min
densenet121,0,11,1.0040519891246673,1.0269112817702755,0.5483870967741935,nan,0.30950797872340424,0.28116213683223995,0.001, 0 hr 20 min
densenet121,0,12,0.9621665431607154,1.015373137689406,0.5612903225806452,nan,0.2916223404255319,0.24985337243401762,0.001, 0 hr 21 min
densenet121,0,13,0.9443258247067852,1.0001439125307146,0.5612903225806452,nan,0.31136968085106387,0.2827529021558873,0.001, 0 hr 23 min
densenet121,0,14,0.9557451155877883,1.0090658049429617,0.5870967741935483,nan,0.35897606382978725,0.31848476959125227,0.001, 0 hr 25 min
densenet121,0,15,0.9463458772628538,0.9768110321414086,0.567741935483871,nan,0.3079122340425532,0.2768321205821206,0.001, 0 hr 26 min
densenet121,0,16,0.9171873200324274,0.9610513948625133,0.5806451612903226,nan,0.31855053191489363,0.28902657128257536,0.001, 0 hr 28 min
densenet121,0,17,0.9082485875775738,0.9640165067488148,0.5935483870967742,nan,0.36210106382978724,0.32204011101220087,0.001, 0 hr 30 min
densenet121,0,18,0.8886926631773672,0.9639242118404757,0.6,nan,0.3696143617021277,0.32610712996855185,0.001, 0 hr 32 min
