model,fold,epoch,train_loss,val_loss,val_acc,precision,recall,f1_score,lr,elapsed
efficientnet_v2_s,0,0,1.4300638221925306,1.4218620907875799,0.1935483870967742,0.2523080265015749,0.24585549645390067,0.172185027089471,0.001, 0 hr 01 min
efficientnet_v2_s,0,1,1.3287341048640589,1.3683086441409202,0.2903225806451613,0.2417235998650472,0.21318705673758867,0.2009504608294931,0.001, 0 hr 03 min
efficientnet_v2_s,0,2,1.276655033326918,1.281634388431426,0.4064516129032258,nan,0.227593085106383,0.2067876874506709,0.001, 0 hr 05 min
efficientnet_v2_s,0,3,1.1889580911205662,1.2219885741510699,0.4774193548387097,nan,0.23563829787234042,0.17795566502463056,0.001, 0 hr 06 min
efficientnet_v2_s,0,4,1.1894760777873377,1.1970737595711984,0.4967741935483871,0.1783783783783784,0.2428191489361702,0.1762820512820513,0.001, 0 hr 08 min
efficientnet_v2_s,0,5,1.1998266696929931,1.1873564950881466,0.4967741935483871,0.199853228962818,0.2450132978723404,0.18444772205834153,0.001, 0 hr 10 min
efficientnet_v2_s,0,6,1.1616403087492913,1.1862467488934916,0.5225806451612903,0.36897824397824397,0.2744015957446808,0.2338956509360096,0.001, 0 hr 11 min
efficientnet_v2_s,0,7,1.1647633867879068,1.176431332865069,0.5225806451612903,0.36897824397824397,0.2744015957446808,0.2338956509360096,0.001, 0 hr 13 min
efficientnet_v2_s,0,8,1.1351484429451728,1.175148194836032,0.5161290322580645,0.36722999222999225,0.2712765957446808,0.23165349846964195,0.001, 0 hr 15 min
efficientnet_v2_s,0,9,1.105473933681365,1.1774505645998063,0.5225806451612903,0.36620082815734994,0.2787898936170213,0.24668287628883206,0.001, 0 hr 16 min
efficientnet_v2_s,0,10,1.1445171156237202,1.1767767090951242,0.5161290322580645,0.3643892339544514,0.2756648936170213,0.2443892983071807,0.001, 0 hr 18 min
efficientnet_v2_s,0,11,1.1163377123494302,1.1741492440623622,0.5419354838709678,0.40165441176470584,0.2947473404255319,0.27050264550264547,0.001, 0 hr 20 min
efficientnet_v2_s,0,12,1.1240843780579106,1.169154090266074,0.535483870967742,0.38602941176470584,0.2894281914893617,0.26256613756613756,0.001, 0 hr 21 min
efficientnet_v2_s,0,13,1.1152477572041173,1.1706151654643397,0.535483870967742,0.3858695652173913,0.2872340425531915,0.25717317558195885,0.001, 0 hr 23 min
efficientnet_v2_s,0,14,1.0919177247631935,1.1687641912891018,0.5483870967741935,0.40349264705882354,0.2978723404255319,0.27281746031746035,0.001, 0 hr 25 min
efficientnet_v2_s,0,15,1.1548359870910645,1.1632691737144225,0.5290322580645161,0.3778322440087146,0.2863031914893617,0.2600452196382429,0.001, 0 hr 27 min
efficientnet_v2_s,0,16,1.1426942202352708,1.1613230474533573,0.535483870967742,0.3945074709463199,0.2872340425531915,0.2573439878234399,0.001, 0 hr 28 min
efficientnet_v2_s,0,17,1.1113001438879198,1.1604024287193053,0.535483870967742,0.3785279805352798,0.2872340425531915,0.25704045058883773,0.001, 0 hr 30 min
efficientnet_v2_s,0,18,1.0938776400781447,1.1590894729860368,0.5290322580645161,0.33717442200760905,0.2863031914893617,0.25937653713723563,0.001, 0 hr 32 min
