model,fold,epoch,train_loss,val_loss,val_acc,precision,recall,f1_score,lr,elapsed
mobilenet_v3_large,0,0,1.4166305757338,1.355666910448382,0.2838709677419355,nan,0.2608377659574468,0.18679442252811818,0.001, 0 hr 01 min
mobilenet_v3_large,0,1,1.3908884648353823,1.3820170587108982,0.2645161290322581,nan,0.29126773049645394,0.17531838316722037,0.001, 0 hr 03 min
mobilenet_v3_large,0,2,1.322013186639355,1.4034667476530998,0.27741935483870966,nan,0.3041001773049645,0.177136541263145,0.001, 0 hr 05 min
mobilenet_v3_large,0,3,1.284916610871592,1.4292728862454813,0.25161290322580643,nan,0.25398936170212766,0.1422354557947778,0.001, 0 hr 06 min
mobilenet_v3_large,0,4,1.2242391370957897,1.4408661050181235,0.24516129032258063,nan,0.24867021276595744,0.1389055023923445,0.001, 0 hr 08 min
mobilenet_v3_large,0,5,1.1942793384675057,1.4436272459645425,0.23870967741935484,nan,0.24335106382978725,0.13520114942528735,0.001, 0 hr 10 min
mobilenet_v3_large,0,6,1.1410958251645489,1.4334811664396716,0.23870967741935484,nan,0.24335106382978725,0.13520114942528735,0.001, 0 hr 11 min
mobilenet_v3_large,0,7,1.1160090484926777,1.426078769468492,0.23870967741935484,nan,0.24335106382978725,0.13485126180741575,0.001, 0 hr 13 min
mobilenet_v3_large,0,8,1.0814211783870573,1.410037467556615,0.25161290322580643,nan,0.2517952127659574,0.14564652371669914,0.001, 0 hr 15 min
mobilenet_v3_large,0,9,1.0551237721596995,1.386082333903159,0.2709677419354839,nan,0.2611702127659574,0.1655061337142262,0.001, 0 hr 16 min
mobilenet_v3_large,0,10,1.0888831907703032,1.3585275565424273,0.2838709677419355,0.4999152542372881,0.288031914893617,0.22942942942942943,0.001, 0 hr 18 min
mobilenet_v3_large,0,11,1.0128351430739126,1.3241663017580587,0.3032258064516129,0.42796840958605664,0.2930186170212766,0.24779414833674193,0.001, 0 hr 20 min
mobilenet_v3_large,0,12,1.0228409459514003,1.300318637201863,0.3548387096774194,0.538288084464555,0.30031028368794327,0.28094905086167593,0.001, 0 hr 21 min
mobilenet_v3_large,0,13,1.011387914226901,1.286537205019305,0.4,0.5536256011838697,0.3309618794326241,0.30896285368902004,0.001, 0 hr 23 min
mobilenet_v3_large,0,14,1.0121363670595231,1.2711126765897196,0.4129032258064516,0.5387690122778084,0.321697695035461,0.30292112857902326,0.001, 0 hr 25 min
mobilenet_v3_large,0,15,0.9887163185304211,1.2569554082808956,0.41935483870967744,0.5436859147328656,0.32701684397163117,0.3065216946795894,0.001, 0 hr 26 min
mobilenet_v3_large,0,16,0.9707522669146138,1.2422346684240526,0.43870967741935485,0.5574074074074075,0.3260859929078014,0.2954093377668592,0.001, 0 hr 28 min
mobilenet_v3_large,0,17,0.9747813813148006,1.2235132417371195,0.45806451612903226,0.5555796347665279,0.3457668439716312,0.3309380692167578,0.001, 0 hr 30 min
mobilenet_v3_large,0,18,0.9786470397826164,1.2014752626419067,0.47096774193548385,0.5596985815602836,0.3520168439716312,0.3391049333119075,0.001, 0 hr 31 min
mobilenet_v3_large,0,19,0.9452808380126954,1.1730995101313437,0.5032258064516129,0.579213747645951,0.3632535460992908,0.3584276739192587,0.001, 0 hr 33 min
mobilenet_v3_large,0,20,0.9205697194222481,1.1456786778665358,0.5483870967741935,0.5260617760617761,0.363031914893617,0.35095773402225017,0.001, 0 hr 35 min
