model,fold,epoch,train_loss,val_loss,val_acc,precision,recall,f1_score,lr,elapsed
regnet_y_8gf,0,0,1.2137046418136643,1.1112556071878086,0.4923702950152594,0.4133663366336634,0.3321683522041446,0.3004340427159219,0.001, 0 hr 02 min
regnet_y_8gf,0,1,1.104462885662595,1.0653691187516112,0.49847405900305186,nan,0.41675688319368714,0.38522937153696396,0.001, 0 hr 04 min
regnet_y_8gf,0,2,1.0232878579006797,1.0061200982071496,0.5289928789420142,0.5764410614511865,0.3739659394913009,0.37259917979869256,0.001, 0 hr 06 min
regnet_y_8gf,0,3,1.0215857124765189,1.0117984892514327,0.5391658189216684,0.5023170310248626,0.3890978862190485,0.3735908478306928,0.001, 0 hr 08 min
regnet_y_8gf,0,4,0.9552711760767357,0.9740085441729059,0.5483214649033571,0.535403335165842,0.4829882775379378,0.44790843373831296,0.001, 0 hr 10 min
regnet_y_8gf,0,5,0.9377047657845343,1.0549903111200731,0.4750762970498474,0.538804945054945,0.3366089692807761,0.27745559419619326,0.001, 0 hr 12 min
regnet_y_8gf,0,6,0.9446492215139092,0.9229457466915204,0.5615462868769074,0.5445230557260669,0.4155098870399343,0.40334818076135365,0.001, 0 hr 14 min
regnet_y_8gf,0,7,0.880437227437843,0.8603490097476653,0.646998982706002,0.5089663792082905,0.528778005556426,0.5115516472219798,0.001, 0 hr 16 min
regnet_y_8gf,0,8,0.8565480282202378,0.8156613212150814,0.6581892166836215,0.6648073420204568,0.5430092065047788,0.5765953988445128,0.001, 0 hr 18 min
regnet_y_8gf,0,9,0.7976167698600164,0.8112919363340065,0.6561546286876907,0.6389382082563901,0.5421427576602853,0.541146194612167,0.001, 0 hr 19 min
regnet_y_8gf,0,10,0.7750161854684777,0.7899073117383256,0.6602238046795523,0.6115532922362191,0.5581511858569094,0.5341479551002599,0.001, 0 hr 21 min
regnet_y_8gf,0,11,0.7582309676574909,0.7481854501600061,0.6836215666327569,0.6890820911807526,0.5652220005826772,0.5872266647308085,0.001, 0 hr 23 min
regnet_y_8gf,0,12,0.7089919446686156,0.7150049187765966,0.6978636826042726,0.6916528023614362,0.6235942514455608,0.6416165041358208,0.001, 0 hr 25 min
regnet_y_8gf,0,13,0.7058544920516766,0.7492063732501327,0.6876907426246185,0.5949745095587622,0.5416958846959851,0.537725346401943,0.001, 0 hr 27 min
regnet_y_8gf,0,14,0.7142916147124367,0.6810737579060474,0.698880976602238,0.674047109400295,0.6051123445993517,0.5898598919432253,0.001, 0 hr 29 min
regnet_y_8gf,0,15,0.6555225330718536,0.6471889482873624,0.7100712105798576,0.7012421442650806,0.6040176809568581,0.5997625521213531,0.001, 0 hr 31 min
regnet_y_8gf,0,16,0.6149950026859465,0.6296514107155048,0.7212614445574771,0.7193340053997213,0.6178293774592838,0.6336006613899928,0.001, 0 hr 33 min
regnet_y_8gf,0,17,0.6014334897180055,0.6386687380554474,0.7222787385554426,0.7197662416596964,0.6461190902007408,0.6578361644138961,0.001, 0 hr 35 min
regnet_y_8gf,0,18,0.6057527626761342,0.5965394910997195,0.745676500508647,0.7542419895513317,0.6664645126448835,0.684874096664333,0.001, 0 hr 37 min
