model,fold,epoch,train_loss,val_loss,val_acc,precision,recall,f1_score,lr,elapsed
resnet50,0,0,1.1920834129727385,1.136495183346109,0.43845371312309256,nan,0.31136320004236834,0.2653729843452002,0.001, 0 hr 01 min
resnet50,0,1,1.1033002543182606,1.089775103518582,0.5157680569684638,nan,0.36600727322477933,0.3590896267768224,0.001, 0 hr 03 min
resnet50,0,2,1.0224170704217797,1.0171862844290593,0.531027466937945,nan,0.4643762040210164,0.43389615237782664,0.001, 0 hr 05 min
resnet50,0,3,0.9738941485496164,0.9452342585047531,0.5859613428280773,0.534558389042739,0.5142349699899698,0.48092984039705033,0.001, 0 hr 07 min
resnet50,0,4,0.9277059398856798,0.9631761040231582,0.5350966429298067,nan,0.42563260064126185,0.39016685756432423,0.001, 0 hr 09 min
resnet50,0,5,0.8812193490360178,0.9816835549331269,0.5055951169888098,0.7206821702737699,0.40276536896208587,0.3511736063465988,0.001, 0 hr 11 min
resnet50,0,6,0.8602345913860829,0.8360251966837342,0.641912512716175,0.6800532706308245,0.5368500959991662,0.5664220133287899,0.001, 0 hr 13 min
resnet50,0,7,0.8180445941394368,0.799174675742583,0.6673448626653102,0.695682365473699,0.5664653097381285,0.5738266486080703,0.001, 0 hr 15 min
resnet50,0,8,0.7863117854204692,0.76448826781367,0.6876907426246185,0.708080302291507,0.5869405565343229,0.5955553389690094,0.001, 0 hr 17 min
resnet50,0,9,0.7306238992531933,0.7654045036826226,0.6683621566632757,0.7136583646454717,0.5473010337853806,0.5738907166441352,0.001, 0 hr 19 min
resnet50,0,10,0.7099173252119295,0.7086003367558864,0.7182095625635808,0.7478245098429328,0.6205858822069608,0.6582013540446625,0.001, 0 hr 21 min
resnet50,0,11,0.6985967642535755,0.72136193583601,0.6948118006103764,0.7039702652262707,0.601271795867631,0.5908354953841843,0.001, 0 hr 23 min
resnet50,0,12,0.642100710895515,0.647103229380333,0.7243133265513734,0.7197735059002663,0.6471638764583836,0.665753664780629,0.001, 0 hr 24 min
resnet50,0,13,0.6423542472559463,0.6359620380801805,0.7202441505595116,0.7327964127303089,0.6445946879159985,0.655826347852807,0.001, 0 hr 26 min
resnet50,0,14,0.6221504897212691,0.6066855928601956,0.7405900305188199,0.7423506069709105,0.6721349533606384,0.696090774834579,0.001, 0 hr 28 min
resnet50,0,15,0.6061405300608972,0.6411345568945062,0.71617497456765,0.763818708190966,0.6249757894419985,0.6418953330835079,0.001, 0 hr 30 min
resnet50,0,16,0.614690150758621,0.5661209986781055,0.7721261444557477,0.7583291881449761,0.7409753739350424,0.7459097350948192,0.001, 0 hr 32 min
resnet50,0,17,0.5715161682630483,0.5754358720257954,0.7517802644964394,0.754215844627349,0.6817220592012116,0.6949061487992254,0.001, 0 hr 34 min
resnet50,0,18,0.5614003777079519,0.559843150821125,0.7619532044760936,0.7724076984110428,0.6891957157999187,0.7081122231545409,0.001, 0 hr 36 min
resnet50,0,19,0.5408071066695337,0.5535409524506252,0.7650050864699898,0.8006235796639146,0.6917675332647452,0.7287803329272942,0.001, 0 hr 38 min
resnet50,0,20,0.5119759336735443,0.5230051467795823,0.7863682604272635,0.8075454883214521,0.7130169032993917,0.7418941153829367,0.001, 0 hr 40 min
resnet50,0,21,0.5346502567720074,0.5261012939840464,0.7772126144455748,0.8121069050416877,0.6978707616635466,0.7302140233631593,0.001, 0 hr 42 min
resnet50,0,22,0.5056106155910667,0.5213090617471163,0.7884028484231943,0.8152589818995694,0.714903123677582,0.7490412174926606,0.001, 0 hr 44 min
resnet50,0,23,0.49753139247608086,0.5024414407212519,0.7914547304170905,0.8074522492766892,0.7364278360294747,0.7586428048035327,0.001, 0 hr 46 min
resnet50,0,24,0.4730723668211959,0.47222350809499547,0.797558494404883,0.7831945166320167,0.7508372371806047,0.7456949339458466,0.001, 0 hr 47 min
resnet50,0,25,0.47911682527887495,0.49543503686285456,0.7934893184130214,0.7944651580895741,0.7288221151547527,0.7248215973372607,0.001, 0 hr 49 min
resnet50,0,26,0.4691714951853786,0.4604504338843655,0.8107833163784334,0.8227645322650792,0.7825718037437892,0.7918498585901397,0.001, 0 hr 51 min
resnet50,0,27,0.43025739031672355,0.4911223034983613,0.797558494404883,0.8448058798883387,0.7228297534439945,0.7601160782466498,0.001, 0 hr 53 min
resnet50,0,28,0.44925626312000705,0.43625304173386353,0.8158697863682604,0.8337503748687959,0.7569358329611678,0.786286837569336,0.001, 0 hr 55 min
resnet50,0,29,0.4225139949898996,0.40435024761686733,0.8382502543234994,0.8396291460315851,0.792890177214127,0.8117123076590046,0.001, 0 hr 57 min
resnet50,0,30,0.4225328139589374,0.4280883660454716,0.8270600203458799,0.8540473496316413,0.7659263820521817,0.7962940297089736,0.0005, 0 hr 59 min
resnet50,0,31,0.37536236934841344,0.4229319190657636,0.8270600203458799,0.829571378031523,0.7809708147314262,0.7918820342903609,0.0005, 1 hr 01 min
resnet50,0,32,0.4107688635375468,0.4037322605811325,0.8362156663275686,0.8329774238690214,0.7904686546158051,0.8040334514111773,0.0005, 1 hr 03 min
resnet50,0,33,0.374980401471333,0.4131567377979855,0.8168870803662258,0.823356408456984,0.7839284833229422,0.7966442601435244,0.0005, 1 hr 05 min
resnet50,0,34,0.39428284946196196,0.392104457916042,0.8474059003051881,0.8477163790079661,0.803192040881788,0.8189615092347631,0.0005, 1 hr 07 min
resnet50,0,35,0.36307979239452165,0.39739276485807534,0.8372329603255341,0.8529440091760535,0.7842558637347667,0.8033408965568198,0.0005, 1 hr 09 min
resnet50,0,36,0.3655055454218739,0.41364803825365803,0.8280773143438453,0.8536329467544341,0.7692566482386065,0.7936969993127938,0.0005, 1 hr 11 min
