model,fold,epoch,train_loss,val_loss,val_acc,precision,recall,f1_score,lr,elapsed
vgg16_bn,0,0,1.3599040354451826,1.1465732051480202,0.5161290322580645,nan,0.25,0.1702127659574468,0.001, 0 hr 01 min
vgg16_bn,0,1,1.133304512885309,1.181446832995261,0.5161290322580645,nan,0.25,0.1702127659574468,0.001, 0 hr 03 min
vgg16_bn,0,2,1.1895085234795848,1.1650450383463213,0.5225806451612903,nan,0.2553191489361702,0.18187790137514237,0.001, 0 hr 05 min
vgg16_bn,0,3,1.162803675282386,1.1307394812183995,0.5419354838709678,nan,0.30418882978723405,0.27673932517169303,0.001, 0 hr 07 min
vgg16_bn,0,4,1.1196566389453027,1.1060845236624441,0.5483870967741935,nan,0.2831781914893617,0.2404423500798054,0.001, 0 hr 08 min
vgg16_bn,0,5,1.1231851793104601,1.0987261456827964,0.5483870967741935,nan,0.28756648936170215,0.25109970674486803,0.001, 0 hr 10 min
vgg16_bn,0,6,1.0562781641560217,1.0923422959543043,0.5612903225806452,nan,0.3179521276595745,0.289920424403183,0.001, 0 hr 12 min
vgg16_bn,0,7,1.0849543409962807,1.069322355331913,0.5806451612903226,nan,0.32513297872340424,0.2975861433572876,0.001, 0 hr 14 min
vgg16_bn,0,8,1.065316149496263,1.0491235833014212,0.567741935483871,nan,0.2947473404255319,0.25450292397660823,0.001, 0 hr 15 min
vgg16_bn,0,9,1.0601243865105414,1.0429509724340131,0.5612903225806452,nan,0.3201462765957447,0.29198928800139723,0.001, 0 hr 17 min
vgg16_bn,0,10,1.0249673554974217,1.055031103472556,0.5612903225806452,nan,0.35086436170212765,0.3064203821656051,0.001, 0 hr 19 min
vgg16_bn,0,11,1.0120743936108005,1.0276024803038566,0.567741935483871,nan,0.32765957446808514,0.29834442737668543,0.001, 0 hr 21 min
vgg16_bn,0,12,1.0094319797331286,1.020061154519358,0.5741935483870968,nan,0.33956117021276594,0.3059636992221262,0.001, 0 hr 22 min
vgg16_bn,0,13,1.03463034706731,1.0123018564716462,0.5806451612903226,nan,0.34488031914893613,0.31041162227602903,0.001, 0 hr 24 min
vgg16_bn,0,14,0.9737914223824778,1.0133359662948116,0.5483870967741935,nan,0.3468085106382979,0.3001617713967949,0.001, 0 hr 26 min
vgg16_bn,0,15,0.9758578154348558,0.9899598360061646,0.5806451612903226,nan,0.3514627659574468,0.31373478741899796,0.001, 0 hr 28 min
vgg16_bn,0,16,0.9584682687636344,0.9702851272398426,0.6193548387096774,nan,0.37393617021276593,0.35749231994538627,0.001, 0 hr 29 min
vgg16_bn,0,17,0.9472740207948992,0.9948149150417697,0.5741935483870968,nan,0.3805851063829787,0.34226078491097933,0.001, 0 hr 31 min
vgg16_bn,0,18,0.9088952991270249,0.9819277794130387,0.5612903225806452,nan,0.37433510638297873,0.33531947261663286,0.001, 0 hr 33 min
vgg16_bn,0,19,0.94089712865891,0.939739869486901,0.6193548387096774,nan,0.3805186170212766,0.36065488901831366,0.001, 0 hr 35 min
vgg16_bn,0,20,0.9041279177511892,0.944633137795233,0.6193548387096774,nan,0.40837765957446803,0.3886809778748029,0.001, 0 hr 36 min
vgg16_bn,0,21,0.9055969130608343,0.9419870376586914,0.6258064516129033,nan,0.4430851063829787,0.4334895833333333,0.001, 0 hr 38 min
vgg16_bn,0,22,0.8572179029064794,0.9606653413464946,0.5741935483870968,nan,0.42466755319148936,0.40569800569800574,0.001, 0 hr 40 min
vgg16_bn,0,23,0.9244271785982193,0.9259281427629532,0.6064516129032258,nan,0.42121010638297873,0.4043548369582921,0.001, 0 hr 42 min
vgg16_bn,0,24,0.8520989406493402,0.8908301053508636,0.6387096774193548,nan,0.41336436170212765,0.39819109049878276,0.001, 0 hr 43 min
vgg16_bn,0,25,0.8600669980049134,0.9054923634375295,0.5935483870967742,nan,0.41276595744680855,0.39715966468678404,0.001, 0 hr 45 min
vgg16_bn,0,26,0.814512094759172,0.8755907666298651,0.6258064516129033,nan,0.4011968085106383,0.3695126277608891,0.001, 0 hr 47 min
vgg16_bn,0,27,0.8397962970118369,0.8720417407251173,0.632258064516129,nan,0.44401595744680855,0.4366149979053205,0.001, 0 hr 49 min
vgg16_bn,0,28,0.7959800935560657,0.8616979391344132,0.632258064516129,nan,0.44401595744680855,0.4367951744033569,0.001, 0 hr 50 min
vgg16_bn,0,29,0.7852292303116091,0.8504429978709067,0.6387096774193548,nan,0.4471409574468085,0.44021647751155946,0.001, 0 hr 52 min
vgg16_bn,0,30,0.7958140377075441,0.8306710104788503,0.6709677419354839,nan,0.4561835106382979,0.4565904139433551,0.0005, 0 hr 54 min
vgg16_bn,0,31,0.7970432085375632,0.8372379272214828,0.6387096774193548,nan,0.4471409574468085,0.44021647751155946,0.0005, 0 hr 56 min
vgg16_bn,0,32,0.7795518905885758,0.8456253543976815,0.632258064516129,nan,0.44621010638297876,0.43704051796157056,0.0005, 0 hr 57 min
vgg16_bn,0,33,0.7129160477269081,0.8386422088069301,0.632258064516129,nan,0.44621010638297876,0.43704051796157056,0.0005, 0 hr 59 min
vgg16_bn,0,34,0.7610906408679101,0.8313836589936288,0.6387096774193548,nan,0.44933510638297874,0.44047058823529417,0.0005, 1 hr 01 min
vgg16_bn,0,35,0.6779439691574343,0.8158808215971916,0.6387096774193548,nan,0.4471409574468085,0.4400209808549698,0.0005, 1 hr 03 min
vgg16_bn,0,36,0.7406023540804463,0.8281191395175073,0.6387096774193548,nan,0.45372340425531915,0.4410602910602911,0.0005, 1 hr 04 min
vgg16_bn,0,37,0.7584221870668473,0.8391063636349093,0.632258064516129,nan,0.4652925531914894,0.45454579327818767,0.0005, 1 hr 06 min
vgg16_bn,0,38,0.7114859765575778,0.824843002903846,0.6451612903225806,nan,0.48404255319148937,0.4765990788694173,0.0005, 1 hr 08 min
vgg16_bn,0,39,0.7294129329342995,0.7893121665523898,0.6516129032258065,nan,0.46589095744680853,0.46382405473314564,0.0005, 1 hr 10 min
vgg16_bn,0,40,0.7235010300913165,0.7752051122726933,0.7032258064516129,nan,0.4761968085106383,0.47467320261437906,0.0005, 1 hr 11 min
vgg16_bn,0,41,0.7148385251722028,0.7734885100395449,0.6838709677419355,nan,0.4940159574468085,0.4966120835686053,0.0005, 1 hr 13 min
vgg16_bn,0,42,0.7326725282976704,0.7817588044751075,0.6516129032258065,nan,0.4577792553191489,0.4475877192982456,0.0005, 1 hr 15 min
vgg16_bn,0,43,0.7205472865412312,0.7900357900127288,0.6580645161290323,nan,0.49029255319148934,0.48361291248893257,0.0005, 1 hr 17 min
vgg16_bn,0,44,0.7404401263883037,0.7768412789990825,0.6709677419354839,nan,0.4965425531914894,0.49057974141030614,0.0005, 1 hr 18 min
vgg16_bn,0,45,0.652810448984946,0.7592739251352125,0.6903225806451613,nan,0.5037234042553191,0.5005402068220405,0.0005, 1 hr 20 min
vgg16_bn,0,46,0.6917189428883214,0.7638873554045155,0.6709677419354839,nan,0.4965425531914894,0.49057974141030614,0.0005, 1 hr 22 min
vgg16_bn,0,47,0.6523971846026759,0.7638977266127064,0.6838709677419355,nan,0.5277925531914893,0.5234161988773055,0.0005, 1 hr 24 min
vgg16_bn,0,48,0.6825475992694978,0.7566006991171068,0.6709677419354839,nan,0.4965425531914894,0.49057974141030614,0.0005, 1 hr 25 min
vgg16_bn,0,49,0.7105855649517429,0.7462945484345959,0.6903225806451613,0.8441358024691359,0.5361258865248227,0.5508666158885783,0.0005, 1 hr 27 min
vgg16_bn,0,50,0.6456301546865894,0.7339900924313453,0.6967741935483871,nan,0.5215425531914893,0.5181739130434783,0.0005, 1 hr 29 min
vgg16_bn,0,51,0.6485120311860115,0.7625437013564571,0.6709677419354839,0.8427531897926634,0.5539450354609929,0.5639603219165262,0.0005, 1 hr 30 min
vgg16_bn,0,52,0.6541800383598574,0.7682575025866109,0.6580645161290323,nan,0.5299867021276596,0.5207041648776298,0.0005, 1 hr 32 min
vgg16_bn,0,53,0.6663295019057489,0.7271096437208114,0.7096774193548387,0.851361718450326,0.5705008865248228,0.5848455349825212,0.0005, 1 hr 34 min
vgg16_bn,0,54,0.6543040487074083,0.7074720628799931,0.7354838709677419,0.8593629343629344,0.600709219858156,0.62991341991342,0.0005, 1 hr 36 min
vgg16_bn,0,55,0.6144604017657619,0.711302726499496,0.7354838709677419,0.8611547525530243,0.613209219858156,0.6398769639187757,0.0005, 1 hr 37 min
vgg16_bn,0,56,0.5654342320657546,0.7189641614114085,0.7096774193548387,0.8535444046196734,0.600709219858156,0.6257521088066862,0.0005, 1 hr 39 min
vgg16_bn,0,57,0.633328761208442,0.7441878126513574,0.6838709677419355,0.8486085904416213,0.572695035460993,0.5811614303552423,0.0005, 1 hr 41 min
vgg16_bn,0,58,0.6126691464454898,0.7093284860734017,0.7096774193548387,0.8540564373897708,0.5830008865248227,0.594951923076923,0.0005, 1 hr 43 min
vgg16_bn,0,59,0.574235362391318,0.6993232004104122,0.7225806451612903,0.8564102564102565,0.606959219858156,0.6328397120121259,0.0005, 1 hr 44 min
vgg16_bn,0,60,0.567843521410419,0.6916518942002328,0.7290322580645161,0.8587662337662338,0.610084219858156,0.6363610980270281,0.00025, 1 hr 46 min
vgg16_bn,0,61,0.5783150719058129,0.6954262641168409,0.7161290322580646,0.8540842563291139,0.603834219858156,0.6293116605616604,0.00025, 1 hr 48 min
