Model,QWK_mean,QWK_std,Balanced Accuracy_mean,Balanced Accuracy_std,Macro-F1_mean,Macro-F1_std,Macro-AUROC_mean,Macro-AUROC_std,Inference ms_mean,Inference ms_std
convnext_tiny,0.8677,0.0164,0.7601,0.0306,0.7584,0.0289,0.9395,0.0081,6.7483,0.4172
deit_small_patch16_224,0.8718,0.014,0.769,0.0182,0.7745,0.0144,0.9448,0.0057,6.5346,0.2279
densenet121,0.8479,0.0118,0.7169,0.0333,0.7213,0.0287,0.9325,0.0146,13.969,0.2626
efficientnet_v2_s,0.8561,0.0161,0.7445,0.0081,0.7318,0.0101,0.9349,0.006,16.9779,0.7391
mobilenet_v3_large,0.8179,0.0119,0.6837,0.0205,0.6852,0.0289,0.9169,0.0145,10.7026,1.2902
regnet_y_8gf,0.8527,0.0146,0.7182,0.0383,0.7303,0.032,0.9378,0.0057,9.1227,0.469
resnet50,0.8439,0.0259,0.7108,0.0279,0.7224,0.0211,0.9316,0.0058,6.9691,0.1533
swin_tiny_patch4_window7_224,0.8812,0.0139,0.7771,0.0377,0.7755,0.0417,0.9468,0.0076,9.9025,0.4089
vgg16_bn,0.8615,0.0162,0.7325,0.0248,0.7465,0.0251,0.9376,0.0092,6.1426,0.4062
vit_small_patch16_224,0.8784,0.0234,0.7668,0.0508,0.7763,0.0476,0.9486,0.0101,6.3269,0.6344
