model,fold,epoch,train_loss,val_loss,val_acc,lr,elapsed
deit_small_patch16_224,1,0,1.1026679974257179,0.9134180529476845,0.547945205479452,0.001, 0 hr 01 min
deit_small_patch16_224,1,1,0.7873859164029232,0.6988226946902601,0.6506849315068493,0.001, 0 hr 03 min
deit_small_patch16_224,1,2,0.6380787300449584,0.5649861721959832,0.7602739726027397,0.001, 0 hr 05 min
deit_small_patch16_224,1,3,0.5505909987785274,0.5403497480366328,0.7568493150684931,0.001, 0 hr 07 min
deit_small_patch16_224,1,4,0.5007884444596942,0.4948468392025934,0.773972602739726,0.001, 0 hr 09 min
deit_small_patch16_224,1,5,0.480956640826786,0.5131951944060522,0.7671232876712328,0.001, 0 hr 11 min
deit_small_patch16_224,1,6,0.4254896349149712,0.5748973340816694,0.7226027397260274,0.001, 0 hr 13 min
deit_small_patch16_224,1,7,0.4013371222008963,0.4830515714336748,0.7705479452054794,0.001, 0 hr 15 min
deit_small_patch16_224,1,8,0.37668511141011646,0.5145604516545387,0.7945205479452054,0.001, 0 hr 17 min
deit_small_patch16_224,1,9,0.3613591453292339,0.5184590310266574,0.7636986301369862,0.001, 0 hr 19 min
deit_small_patch16_224,1,10,0.3352880326975057,0.8118008249630667,0.684931506849315,0.001, 0 hr 21 min
deit_small_patch16_224,1,11,0.31223226079613353,0.43619178562131644,0.8184931506849314,0.001, 0 hr 23 min
deit_small_patch16_224,1,12,0.3237319764661175,0.4983332895048677,0.7705479452054794,0.001, 0 hr 25 min
deit_small_patch16_224,1,13,0.29994150461557084,0.5939652529379277,0.7397260273972602,0.001, 0 hr 26 min
deit_small_patch16_224,1,14,0.2985987527943476,0.5264810186440814,0.7773972602739726,0.001, 0 hr 28 min
deit_small_patch16_224,1,15,0.2712011435768635,0.4863178520782353,0.7876712328767123,0.001, 0 hr 30 min
deit_small_patch16_224,1,16,0.2531273911950926,0.49686033595098206,0.8013698630136986,0.001, 0 hr 32 min
deit_small_patch16_224,1,17,0.2586853498041374,0.45285459842583903,0.8116438356164383,0.001, 0 hr 34 min
deit_small_patch16_224,1,18,0.2261823905639894,0.5197100221396309,0.8013698630136986,0.001, 0 hr 36 min
deit_small_patch16_224,1,19,0.2376419452638585,0.5473449282246093,0.7842465753424657,0.001, 0 hr 38 min
deit_small_patch16_224,1,20,0.2271215262267211,0.4864860950675729,0.797945205479452,0.001, 0 hr 40 min
deit_small_patch16_224,1,21,0.2251921244189463,0.5166185350246626,0.7842465753424657,0.001, 0 hr 42 min
deit_small_patch16_224,1,22,0.18523622978910356,0.4973599656599842,0.7773972602739726,0.001, 0 hr 44 min
deit_small_patch16_224,1,23,0.17926880132742706,0.6022502656464708,0.7773972602739726,0.001, 0 hr 46 min
deit_small_patch16_224,1,24,0.17416965659595865,0.460171056528614,0.8047945205479452,0.001, 0 hr 48 min
deit_small_patch16_224,1,25,0.1875760675148135,0.517364794260835,0.8047945205479452,0.001, 0 hr 50 min
deit_small_patch16_224,1,26,0.20411419656143678,0.6875041373686431,0.7705479452054794,0.001, 0 hr 51 min
deit_small_patch16_224,1,27,0.16035705932092256,0.5015978436559847,0.8116438356164383,0.001, 0 hr 53 min
deit_small_patch16_224,1,28,0.13977093438222174,0.6185848688426083,0.797945205479452,0.001, 0 hr 55 min
deit_small_patch16_224,1,29,0.1823179712622974,0.5478020520140864,0.7808219178082192,0.001, 0 hr 57 min
deit_small_patch16_224,1,30,0.13512812881638564,0.4793331378126798,0.8287671232876712,0.0005, 0 hr 59 min
deit_small_patch16_224,1,31,0.13391911502559808,0.4742371472593856,0.8116438356164383,0.0005, 1 hr 01 min
deit_small_patch16_224,1,32,0.11585707670885094,0.5137315936488648,0.8116438356164383,0.0005, 1 hr 03 min
deit_small_patch16_224,1,33,0.12141866610413457,0.49691520763994895,0.8184931506849314,0.0005, 1 hr 05 min
deit_small_patch16_224,1,34,0.10765899729639164,0.5176179739710403,0.8082191780821917,0.0005, 1 hr 07 min
deit_small_patch16_224,1,35,0.09498404472298888,0.5318557983647062,0.8116438356164383,0.0005, 1 hr 09 min
deit_small_patch16_224,1,36,0.11999043904148969,0.5647514973805375,0.8013698630136986,0.0005, 1 hr 11 min
deit_small_patch16_224,1,37,0.1043759334496674,0.5085964463140866,0.8047945205479452,0.0005, 1 hr 13 min
deit_small_patch16_224,1,38,0.08852675040392405,0.5499231661733699,0.8013698630136986,0.0005, 1 hr 15 min
deit_small_patch16_224,1,39,0.1008726247198592,0.4853571451281848,0.821917808219178,0.0005, 1 hr 17 min
deit_small_patch16_224,1,40,0.09424886109363367,0.526026603906122,0.8150684931506849,0.0005, 1 hr 18 min
deit_small_patch16_224,1,41,0.09280070897207751,0.574322584608238,0.7842465753424657,0.0005, 1 hr 20 min
deit_small_patch16_224,1,42,0.09270794324960575,0.5441168181291999,0.821917808219178,0.0005, 1 hr 22 min
deit_small_patch16_224,1,43,0.09161738709190885,0.5699987937377332,0.797945205479452,0.0005, 1 hr 24 min
deit_small_patch16_224,1,44,0.08274889746640884,0.5202554187750164,0.8082191780821917,0.0005, 1 hr 26 min
deit_small_patch16_224,1,45,0.08257753117401713,0.589606652138372,0.7876712328767123,0.0005, 1 hr 28 min
deit_small_patch16_224,1,46,0.08111178275565477,0.5525306630624484,0.8082191780821917,0.0005, 1 hr 30 min
deit_small_patch16_224,1,47,0.08973272247439802,0.6357331541430664,0.8013698630136986,0.0005, 1 hr 32 min
deit_small_patch16_224,1,48,0.08581291390463007,0.5389635519009747,0.8253424657534246,0.0005, 1 hr 34 min
deit_small_patch16_224,1,49,0.10647534548500832,0.47804643438286976,0.8356164383561644,0.0005, 1 hr 36 min
deit_small_patch16_224,1,50,0.07307947975115715,0.5025277599079968,0.8287671232876712,0.0005, 1 hr 38 min
deit_small_patch16_224,1,51,0.07126141712908901,0.5507953056223589,0.8082191780821917,0.0005, 1 hr 40 min
deit_small_patch16_224,1,52,0.06952911157544718,0.646323596140089,0.7945205479452054,0.0005, 1 hr 42 min
deit_small_patch16_224,1,53,0.08075857123943614,0.5058381029800193,0.8150684931506849,0.0005, 1 hr 44 min
deit_small_patch16_224,1,54,0.06203865967211294,0.4984864776265131,0.8390410958904109,0.0005, 1 hr 46 min
deit_small_patch16_224,1,55,0.06460775352850588,0.5238709165013,0.8356164383561644,0.0005, 1 hr 47 min
deit_small_patch16_224,1,56,0.07199554790786664,0.5356324556449504,0.8184931506849314,0.0005, 1 hr 49 min
deit_small_patch16_224,1,57,0.0997648451557231,0.5225320396153894,0.8082191780821917,0.0005, 1 hr 51 min
deit_small_patch16_224,1,58,0.0717480123075037,0.7022916191729577,0.797945205479452,0.0005, 1 hr 53 min
deit_small_patch16_224,1,59,0.09036516142777236,0.5869535479362901,0.8082191780821917,0.0005, 1 hr 55 min
deit_small_patch16_224,1,60,0.053779227302565596,0.5161995278441742,0.8287671232876712,0.00025, 1 hr 57 min
deit_small_patch16_224,1,61,0.047980620939076714,0.533928746127919,0.8150684931506849,0.00025, 1 hr 59 min
deit_small_patch16_224,1,62,0.057378416415703654,0.5218731788535641,0.8184931506849314,0.00025, 2 hr 01 min
deit_small_patch16_224,1,63,0.054526502437601786,0.5223722687016611,0.821917808219178,0.00025, 2 hr 03 min
deit_small_patch16_224,1,64,0.05116234471613757,0.5149297697903359,0.8253424657534246,0.00025, 2 hr 05 min
deit_small_patch16_224,1,65,0.05085065293529514,0.5067347542267956,0.8116438356164383,0.00025, 2 hr 07 min
deit_small_patch16_224,1,66,0.03959616571065246,0.516474444878428,0.821917808219178,0.00025, 2 hr 09 min
deit_small_patch16_224,1,67,0.04476030222040325,0.5797929653821334,0.8184931506849314,0.00025, 2 hr 11 min
deit_small_patch16_224,1,68,0.04941026419401169,0.6481984347002964,0.8047945205479452,0.00025, 2 hr 12 min
deit_small_patch16_224,1,69,0.04646712009966885,0.5463906397966489,0.8150684931506849,0.00025, 2 hr 14 min
deit_small_patch16_224,1,70,0.04545670972793271,0.5534096390315114,0.821917808219178,0.00025, 2 hr 16 min
