model,fold,epoch,train_loss,val_loss,val_acc,precision,recall,f1_score,lr,elapsed
densenet121,0,0,1.2280539067518046,1.0292811883638984,0.45890410958904104,0.4274569060403327,0.40188042682118064,0.36936173465445005,0.001, 0 hr 01 min
densenet121,0,1,0.9283025937530616,0.9108101941951333,0.571917808219178,0.48638167388167386,0.5149346004546295,0.47945499858684415,0.001, 0 hr 03 min
densenet121,0,2,0.8374178282692709,0.8993806296015439,0.5890410958904109,0.45599733908605583,0.5260720187235745,0.4810071154898742,0.001, 0 hr 05 min
densenet121,0,3,0.8127259926222936,0.8637440441405937,0.5753424657534246,0.5137346206425154,0.5614894898779923,0.4922552108401851,0.001, 0 hr 07 min
densenet121,0,4,0.6736440862197222,0.725207508835074,0.6678082191780822,0.5794785411720895,0.5997344700377725,0.5736038033424038,0.001, 0 hr 09 min
densenet121,0,5,0.5870648078140782,0.7002687719586778,0.684931506849315,0.6632598960396517,0.6044619585919946,0.5960572386939849,0.001, 0 hr 10 min
densenet121,0,6,0.587124124156559,0.6819388858259541,0.708904109589041,0.70678898560619,0.6294766680583896,0.6102084532294547,0.001, 0 hr 12 min
densenet121,0,7,0.5526329355178473,0.6221505858718532,0.7054794520547945,0.6857822410147991,0.6657243950742154,0.6737229442833471,0.001, 0 hr 14 min
densenet121,0,8,0.5245163150867167,0.7007421851158142,0.7191780821917808,0.7684166741543791,0.6332742586134911,0.6620788979889386,0.001, 0 hr 16 min
densenet121,0,9,0.5092489760321097,0.6831645953328642,0.6815068493150684,0.6747487834636836,0.6389047336222629,0.6124553339439547,0.001, 0 hr 17 min
densenet121,0,10,0.46535896738199717,0.6646077947257316,0.6952054794520548,0.7014880952380953,0.6760068102950909,0.6647004422937153,0.001, 0 hr 19 min
densenet121,0,11,0.46950134335669325,0.6397272534158132,0.6986301369863013,0.6722489216437126,0.6443806816436968,0.6219788348425738,0.001, 0 hr 21 min
densenet121,0,12,0.44779401413872516,0.6515416858130938,0.6986301369863013,0.6883033883754986,0.641506087644571,0.655465702815826,0.001, 0 hr 23 min
densenet121,0,13,0.43515039198899985,0.6141214787143551,0.7123287671232876,0.7084858216766581,0.7048473286432921,0.6989679731212194,0.001, 0 hr 25 min
densenet121,0,14,0.4005265332086915,0.6310292790605597,0.7020547945205479,0.7079192524050004,0.6791307954970901,0.68532824933687,0.001, 0 hr 26 min
densenet121,0,15,0.3803514135497834,0.6895443256178947,0.6952054794520548,0.7057687751717602,0.6537219278695465,0.6686198480647519,0.001, 0 hr 28 min
densenet121,0,16,0.3615991436616546,0.6478243637574862,0.6986301369863013,0.675708912037037,0.6632445717903634,0.6653489209997345,0.001, 0 hr 30 min
densenet121,0,17,0.33684900408139046,0.6462705014911416,0.7157534246575342,0.6989666837227813,0.6720769897228118,0.6777999242137174,0.001, 0 hr 32 min
densenet121,0,18,0.34992083914801797,0.6052051960197213,0.7363013698630136,0.730521114748477,0.7100626144659475,0.7172993693319641,0.001, 0 hr 34 min
densenet121,0,19,0.32075577027807933,0.6638962075318375,0.6883561643835616,0.6844006371113249,0.6399373773666641,0.6486164539616532,0.001, 0 hr 35 min
densenet121,0,20,0.29226044546892715,0.6657705925507088,0.6986301369863013,0.6824415204678362,0.7014789751822471,0.681736375654905,0.001, 0 hr 37 min
densenet121,0,21,0.29292819971306644,0.6261395011862664,0.7054794520547945,0.6962292371051495,0.6599354318947622,0.6756546815154993,0.001, 0 hr 39 min
densenet121,0,22,0.31460980402041916,0.6219544765883929,0.6952054794520548,0.6749821112171187,0.6553943639793345,0.6634610976190058,0.001, 0 hr 41 min
densenet121,1,0,1.1350489839463787,1.0411966128708565,0.44863013698630133,nan,0.3932112341446491,0.34840414820781307,0.001, 0 hr 01 min
densenet121,1,1,0.9312646997844712,0.8954547855952014,0.636986301369863,nan,0.5368105825830771,0.5167637020678579,0.001, 0 hr 03 min
densenet121,1,2,0.8519787568391137,0.8912965994175166,0.5410958904109588,0.6046112489660876,0.5369212506950447,0.4888460473942635,0.001, 0 hr 05 min
densenet121,1,3,0.7617827888210444,0.768681139162142,0.6472602739726027,0.6686314962177031,0.5633169838553601,0.5622832361830483,0.001, 0 hr 07 min
densenet121,1,4,0.6941135854680139,0.6706483315115106,0.684931506849315,0.6495556211465303,0.5975983304551458,0.6092748290500521,0.001, 0 hr 08 min
densenet121,1,5,0.6297457086170181,0.6678167499908029,0.6815068493150684,0.6706923564142057,0.6034621885856501,0.621945392178443,0.001, 0 hr 10 min
densenet121,1,6,0.5685483042262655,0.6091362160362609,0.708904109589041,0.6894226425748164,0.6364844097624466,0.6519108427069887,0.001, 0 hr 12 min
densenet121,1,7,0.5812698565327559,0.6172566342435472,0.6952054794520548,0.6616319444444445,0.6329819477849064,0.637753432230581,0.001, 0 hr 14 min
densenet121,1,8,0.5511251148236156,0.5770959864332251,0.7465753424657534,0.7223501115742494,0.6975215488373887,0.6966469236612053,0.001, 0 hr 16 min
densenet121,1,9,0.4920175057112403,0.5861493318456493,0.7397260273972602,0.7773731839448412,0.6889745402903801,0.6826214085939486,0.001, 0 hr 17 min
densenet121,1,10,0.4994468853709012,0.5880763138810249,0.7465753424657534,0.7647379303430258,0.6778330383272666,0.6541197757953459,0.001, 0 hr 19 min
densenet121,1,11,0.47499800293742334,0.5485947483206448,0.732876712328767,0.7206409754825248,0.6593564048986035,0.6762666583142631,0.001, 0 hr 21 min
densenet121,1,12,0.4438950628681756,0.6071041205974474,0.726027397260274,0.7290911835748792,0.7066243889976785,0.7069310805682154,0.001, 0 hr 23 min
densenet121,1,13,0.43562097610833816,0.5691848311522235,0.7602739726027397,0.7912290715372907,0.6988696987932521,0.6918477116752979,0.001, 0 hr 25 min
densenet121,1,14,0.3759437617570034,0.4918456685869661,0.7636986301369862,0.7443278861074036,0.7095995235472339,0.7230384356318204,0.001, 0 hr 26 min
densenet121,1,15,0.40557344429226905,0.5875565638280895,0.75,0.7623011087662881,0.6853173063038517,0.6805928265232309,0.001, 0 hr 28 min
densenet121,1,16,0.3641619371753905,0.505881423003053,0.7773972602739726,0.7590704699292576,0.7134149598458519,0.7291346207236379,0.001, 0 hr 30 min
densenet121,1,17,0.3962513331435781,0.5178010480044639,0.7705479452054794,0.7523207891852393,0.712688715674917,0.7248487270919973,0.001, 0 hr 32 min
densenet121,1,18,0.3356619856644086,0.8155509837175885,0.6917808219178082,0.7146877269426289,0.7090437736078361,0.6862925334623449,0.001, 0 hr 34 min
densenet121,1,19,0.4071018677412696,0.505116363298403,0.7842465753424657,0.7594221411192215,0.7336674285206508,0.744874674007534,0.001, 0 hr 35 min
densenet121,1,20,0.3210715834930731,0.5317589840660356,0.7945205479452054,0.7938121890547264,0.7389983237252177,0.7431344751212434,0.001, 0 hr 37 min
densenet121,1,21,0.27924792526105957,0.607179027101765,0.7363013698630136,0.7168443478410875,0.6753933169201498,0.6811099439775911,0.001, 0 hr 39 min
densenet121,1,22,0.2932525579509817,0.6038532912322919,0.7465753424657534,0.7376393078598962,0.7111544717757928,0.7157461184042527,0.001, 0 hr 41 min
densenet121,1,23,0.31688603667998005,0.5203942291132392,0.7808219178082192,0.7740511122864064,0.7202782612871672,0.7366273834590578,0.001, 0 hr 43 min
densenet121,1,24,0.28755633999861363,0.5092326463901833,0.7876712328767123,0.7807211016513342,0.7535890362939136,0.756735093630588,0.001, 0 hr 44 min
densenet121,1,25,0.26237740872243953,0.5200856999583441,0.7842465753424657,0.7753440737621795,0.7263748899852791,0.7406689659659365,0.001, 0 hr 46 min
densenet121,1,26,0.24486283253190855,0.5617826758590463,0.7705479452054794,0.7625364334923158,0.7058780530514343,0.7242319846736702,0.001, 0 hr 48 min
densenet121,1,27,0.2538459169506515,0.5294813603571017,0.7910958904109588,0.7725639927681035,0.7489207613051356,0.7591050667424277,0.001, 0 hr 50 min
densenet121,1,28,0.2515152592515741,0.6094576422482321,0.7602739726027397,0.7718342902677282,0.683680275822505,0.7099774587573265,0.001, 0 hr 52 min
densenet121,1,29,0.20776829517450454,0.6828891239447953,0.7465753424657534,0.741225441669821,0.7006511695373403,0.6999825096488437,0.001, 0 hr 53 min
densenet121,2,0,1.1435647895919407,0.929400623661198,0.6232876712328766,0.539674256799494,0.5158666628116594,0.5072291355566617,0.001, 0 hr 01 min
densenet121,2,1,0.9738635163450445,0.858298852835616,0.6267123287671232,0.6040022818711344,0.5009153600478805,0.52208239247667,0.001, 0 hr 03 min
densenet121,2,2,0.8607402135374208,0.7492327208388342,0.6712328767123288,0.5654446002676493,0.565611284913135,0.5531257359606929,0.001, 0 hr 05 min
densenet121,2,3,0.7564051198857025,0.7297007653811206,0.684931506849315,0.6685694609803843,0.6113074142897933,0.6163981080647747,0.001, 0 hr 07 min
densenet121,2,4,0.6474101614031157,0.8872225667311721,0.5547945205479452,0.5895018686896859,0.5787906319402383,0.5221895519957309,0.001, 0 hr 08 min
densenet121,2,5,0.6291829272912807,0.625169865480841,0.7123287671232876,0.6679481737843368,0.6573929239054229,0.6325098261869035,0.001, 0 hr 10 min
densenet121,2,6,0.6099469435573136,0.6594482844006525,0.684931506849315,0.6675889666983911,0.6575712179928218,0.6385190947572352,0.001, 0 hr 12 min
densenet121,2,7,0.5614854105552378,0.685444398081466,0.6780821917808219,0.6583345272151129,0.6361165914286853,0.6158792005665179,0.001, 0 hr 14 min
densenet121,2,8,0.5428537002448872,0.6354358286073764,0.7020547945205479,0.6743900700553926,0.690539861102127,0.6681064316547524,0.001, 0 hr 16 min
densenet121,2,9,0.48348715077653975,0.5574437898315795,0.7534246575342465,0.7052793904208998,0.6996354322867968,0.6953156045829784,0.001, 0 hr 17 min
densenet121,2,10,0.5270322123054783,0.6031835122059469,0.7191780821917808,0.6842163177670424,0.6384356805100632,0.6526821568019145,0.001, 0 hr 19 min
densenet121,2,11,0.4632398597160634,0.5898340602647768,0.7363013698630136,0.6798518863530508,0.6812054754824803,0.6635785159620363,0.001, 0 hr 21 min
densenet121,2,12,0.44812970836786753,0.5364556535057825,0.7568493150684931,0.693064904503347,0.6985554585269822,0.6939573198310001,0.001, 0 hr 23 min
densenet121,2,13,0.4458501257354098,0.5527296809300984,0.7636986301369862,0.7046574383059366,0.6838952006465957,0.6904737523940393,0.001, 0 hr 25 min
densenet121,2,14,0.39513209561933266,0.5841503124939252,0.75,0.6804626532887402,0.6323405627787938,0.6491479704147768,0.001, 0 hr 26 min
densenet121,2,15,0.3780810198942479,0.5766818200888699,0.7602739726027397,0.7134379509379509,0.6549390729164828,0.6768716005676794,0.001, 0 hr 28 min
densenet121,2,16,0.3411176182425585,0.5915784926140961,0.7294520547945205,0.6752972889565632,0.6927477103543536,0.6759373652378127,0.001, 0 hr 30 min
densenet121,2,17,0.4229745135286847,0.5569203761342454,0.773972602739726,0.7274572649572649,0.7271061571000413,0.7054677810271388,0.001, 0 hr 32 min
densenet121,2,18,0.3345441461376878,0.5781207536283421,0.7534246575342465,0.7022986694677872,0.7019172372404159,0.6877449900902883,0.001, 0 hr 33 min
densenet121,2,19,0.3666739004875969,0.7197783822576477,0.6780821917808219,0.6467196118058187,0.6511371536455628,0.6269538557881682,0.001, 0 hr 35 min
densenet121,2,20,0.29812533883577763,0.639361019667289,0.7294520547945205,0.668939393939394,0.6945824324703997,0.6701522161625723,0.001, 0 hr 37 min
densenet121,2,21,0.3008607084019501,0.5490107722070119,0.7294520547945205,0.673052459784094,0.6552915773971121,0.6613366750208857,0.001, 0 hr 39 min
densenet121,2,22,0.2991882556625702,0.567990180666316,0.7602739726027397,0.6988309533386967,0.6749123802579196,0.6849323062558357,0.001, 0 hr 41 min
densenet121,2,23,0.2915557169351455,0.6217298052490574,0.7397260273972602,0.7031834983276097,0.6745633877542754,0.6801112815197321,0.001, 0 hr 42 min
densenet121,2,24,0.30535392735649075,0.607327714817573,0.7534246575342465,0.6849810542992361,0.6731760343343938,0.6755272135651234,0.001, 0 hr 44 min
densenet121,2,25,0.28416297806690693,0.5876206871989655,0.7636986301369862,0.6946257796257796,0.6722708835219346,0.679269731096951,0.001, 0 hr 46 min
densenet121,2,26,0.24589492734921337,0.6123648555821752,0.7431506849315068,0.671208357685564,0.6766709823146639,0.6708314924001197,0.001, 0 hr 48 min
densenet121,2,27,0.22674477280081598,0.5775449663808901,0.7705479452054794,0.7270423955587506,0.6951015516731058,0.7056014596090932,0.001, 0 hr 50 min
densenet121,3,0,1.1289692140955783,0.9847074632775293,0.5273972602739726,0.5296886238459795,0.4690859451007757,0.43644412620476447,0.001, 0 hr 01 min
densenet121,3,1,0.9268837996306849,0.9613216805131468,0.48972602739726023,0.5888287401574803,0.3909385358290258,0.341718831747366,0.001, 0 hr 03 min
densenet121,3,2,0.8635507604083278,1.1819175502208814,0.4554794520547945,0.48599137931034486,0.45324803149606296,0.3947062448188285,0.001, 0 hr 05 min
densenet121,3,3,0.7355314165225868,0.8285642756174688,0.595890410958904,0.5765718477244127,0.5674999526291477,0.5256314376424424,0.001, 0 hr 07 min
densenet121,3,4,0.680675629228993,0.7030704976761177,0.7020547945205479,0.6833169934640523,0.608230718266266,0.6322270204781196,0.001, 0 hr 08 min
densenet121,3,5,0.6019171632922259,0.6525646415475297,0.6780821917808219,0.6618125790139064,0.6356927039739898,0.6438632568495268,0.001, 0 hr 10 min
densenet121,3,6,0.5786769610106177,0.6400115992108436,0.6952054794520548,0.6983254305646391,0.6220547580917584,0.6495859213250518,0.001, 0 hr 12 min
densenet121,3,7,0.5274060044677472,0.6496034834074648,0.708904109589041,0.7162456427015251,0.6883219659622457,0.6832724844927698,0.001, 0 hr 14 min
densenet121,3,8,0.5128163360219145,0.6098874652222411,0.6986301369863013,0.6313763186505009,0.6406003242779865,0.635314154583071,0.001, 0 hr 16 min
densenet121,3,9,0.4583547865372359,0.6445364531588881,0.7226027397260274,0.6948095603973437,0.6345572328104244,0.6538995207492119,0.001, 0 hr 17 min
densenet121,3,10,0.4489132731001776,0.6444871252121991,0.7157534246575342,0.6309875328083989,0.6292209879664967,0.6148508259138896,0.001, 0 hr 19 min
densenet121,3,11,0.4632042402361596,0.621485222692359,0.7191780821917808,0.69291428268701,0.689158796571265,0.6850949975949976,0.001, 0 hr 21 min
densenet121,3,12,0.432134119840139,0.6520467772059244,0.6883561643835616,0.6134319729865707,0.6006183039666718,0.5842986181750355,0.001, 0 hr 23 min
densenet121,3,13,0.3951575243166076,0.5949734945411551,0.75,0.6853744183623862,0.6809739300231236,0.6713836731217154,0.001, 0 hr 25 min
densenet121,3,14,0.42639915157797,0.6407211853625023,0.7465753424657534,0.7363620012872781,0.6919064693556323,0.7014488568122094,0.001, 0 hr 26 min
densenet121,3,15,0.4162703112982885,0.6888529779772236,0.7191780821917808,0.6454809560512895,0.642976095034424,0.631530494821634,0.001, 0 hr 28 min
densenet121,3,16,0.3359359774722562,0.6733009576389234,0.7191780821917808,0.6633891113653699,0.6414261697496925,0.6185894152859545,0.001, 0 hr 30 min
densenet121,3,17,0.36220293981322915,0.613022213112818,0.7363013698630136,0.7051814851814852,0.6771005461042537,0.6867378794030454,0.001, 0 hr 32 min
densenet121,3,18,0.31956757062750313,0.6490284220813072,0.726027397260274,0.6601540399094747,0.6368916765818761,0.6361668000488314,0.001, 0 hr 33 min
densenet121,3,19,0.30099209636577723,0.6189644740868921,0.75,0.7285557007355787,0.7005233499098648,0.712065534114025,0.001, 0 hr 35 min
densenet121,3,20,0.2983955906184446,0.6376425203395216,0.7123287671232876,0.6881388074354251,0.6612826426009668,0.6686855190291033,0.001, 0 hr 37 min
densenet121,3,21,0.27734077396310963,0.6601225565353485,0.7534246575342465,0.7270873853848291,0.684881494462184,0.7013375161081075,0.001, 0 hr 39 min
densenet121,3,22,0.2657303163422024,0.6606199086120684,0.7397260273972602,0.7038292566650775,0.6597862545467851,0.6765669108336898,0.001, 0 hr 41 min
densenet121,3,23,0.27090483458768655,0.6652319070002805,0.7397260273972602,0.66762534752181,0.6840101974743822,0.6625372457572225,0.001, 0 hr 42 min
densenet121,4,0,1.1492750669241976,0.9920045488501248,0.5993150684931506,0.6463446293341438,0.48503979478293374,0.4933486616476307,0.001, 0 hr 01 min
densenet121,4,1,0.9922958601186204,0.9616880367879999,0.5102739726027397,0.5406660590871117,0.44687563093074906,0.43176056015266284,0.001, 0 hr 03 min
densenet121,4,2,0.8600507197973554,0.8507950452909078,0.6506849315068493,0.5946785197523387,0.5022575069733162,0.5052806186768061,0.001, 0 hr 05 min
densenet121,4,3,0.7582129346966232,0.720576332856531,0.7020547945205479,0.6423822301729278,0.5737121090352877,0.5865881232882345,0.001, 0 hr 07 min
densenet121,4,4,0.6749200553853113,0.7227495667869097,0.6678082191780822,0.6372563718140929,0.5648035710435374,0.5714454406361202,0.001, 0 hr 08 min
densenet121,4,5,0.611387205942506,0.7280103386673209,0.6815068493150684,0.6515103509797286,0.569077687871167,0.57480627828504,0.001, 0 hr 10 min
densenet121,4,6,0.5562162512361748,0.6605394588757868,0.6746575342465753,0.6414270476140617,0.6026432037201473,0.6057872063253057,0.001, 0 hr 12 min
densenet121,4,7,0.5691463415203176,0.606898206962298,0.7465753424657534,0.6902686241720768,0.6298901829298971,0.6378124302970178,0.001, 0 hr 14 min
densenet121,4,8,0.513749570191674,0.6046301210171556,0.7465753424657534,0.701394257637854,0.6507113060176664,0.6635926824179836,0.001, 0 hr 16 min
densenet121,4,9,0.503791681814603,0.6353620696965963,0.7363013698630136,0.6813458994708994,0.6385349551153007,0.6494839149197913,0.001, 0 hr 17 min
densenet121,4,10,0.4797421175522866,0.6408869158731748,0.708904109589041,0.6651759061833689,0.6259281420106281,0.6361989869656532,0.001, 0 hr 19 min
densenet121,4,11,0.4522296432517629,0.7293820398004904,0.6986301369863013,0.6897943567670971,0.6468297955474012,0.6465144409019932,0.001, 0 hr 21 min
