model,fold,epoch,train_loss,val_loss,val_acc,lr,elapsed
efficientnet_v2_s,1,0,1.222584663542555,34.9672414333853,0.5,0.001, 0 hr 01 min
efficientnet_v2_s,1,1,1.1136700231118264,117.1135337499723,0.5171232876712328,0.001, 0 hr 03 min
efficientnet_v2_s,1,2,1.0633923406764674,55.61492796793376,0.5308219178082192,0.001, 0 hr 05 min
efficientnet_v2_s,1,3,1.0286823852891063,25.52790567727938,0.5308219178082192,0.001, 0 hr 07 min
efficientnet_v2_s,1,4,0.9881117878042065,0.9804687426514822,0.5171232876712328,0.001, 0 hr 09 min
efficientnet_v2_s,1,5,0.9411680571511069,3.2472652752105504,0.5787671232876712,0.001, 0 hr 11 min
efficientnet_v2_s,1,6,0.9199773871847489,0.8803286454448961,0.5787671232876712,0.001, 0 hr 13 min
efficientnet_v2_s,1,7,0.9126264701073773,0.8433761057788378,0.595890410958904,0.001, 0 hr 14 min
efficientnet_v2_s,1,8,0.8716474566848493,0.7893305478030688,0.636986301369863,0.001, 0 hr 16 min
efficientnet_v2_s,1,9,0.7884978861256219,0.7640282650516458,0.6438356164383561,0.001, 0 hr 18 min
efficientnet_v2_s,1,10,0.7580675634703411,0.7171842088438061,0.6712328767123288,0.001, 0 hr 20 min
efficientnet_v2_s,1,11,0.7294049858535309,0.7211218133364639,0.6678082191780822,0.001, 0 hr 22 min
efficientnet_v2_s,1,12,0.6809165104775982,0.6782701682962783,0.6986301369863013,0.001, 0 hr 24 min
efficientnet_v2_s,1,13,0.6768074480760763,0.6697422972280686,0.6952054794520548,0.001, 0 hr 26 min
efficientnet_v2_s,1,14,0.6275384314326258,0.6266239444686942,0.7054794520547945,0.001, 0 hr 27 min
efficientnet_v2_s,1,15,0.6312117201575905,0.6190492120915896,0.7123287671232876,0.001, 0 hr 29 min
efficientnet_v2_s,1,16,0.6029959721115014,0.597854446466655,0.7568493150684931,0.001, 0 hr 31 min
efficientnet_v2_s,1,17,0.5850497561974587,0.6014957652516562,0.7294520547945205,0.001, 0 hr 33 min
efficientnet_v2_s,1,18,0.56508423345795,0.6103551679686324,0.7294520547945205,0.001, 0 hr 35 min
efficientnet_v2_s,1,19,0.5815852811152331,0.5861692693952012,0.7397260273972602,0.001, 0 hr 37 min
efficientnet_v2_s,1,20,0.5283108755498485,0.5451390049228929,0.7602739726027397,0.001, 0 hr 39 min
efficientnet_v2_s,1,21,0.4965466116119352,0.555345724094404,0.7568493150684931,0.001, 0 hr 40 min
efficientnet_v2_s,1,22,0.49626425729800705,0.5289519241411392,0.7602739726027397,0.001, 0 hr 42 min
efficientnet_v2_s,1,23,0.5227909372088223,0.5605092311966909,0.7465753424657534,0.001, 0 hr 44 min
efficientnet_v2_s,1,24,0.45898358033962006,0.5499531994127247,0.7465753424657534,0.001, 0 hr 46 min
efficientnet_v2_s,1,25,0.47994550645607226,0.5184090284452046,0.7568493150684931,0.001, 0 hr 48 min
efficientnet_v2_s,1,26,0.4757993333329459,0.56409245974397,0.7363013698630136,0.001, 0 hr 50 min
efficientnet_v2_s,1,27,0.4530272824569833,0.5331355598691392,0.7568493150684931,0.001, 0 hr 52 min
efficientnet_v2_s,1,28,0.441421273926297,0.5259744275922644,0.7534246575342465,0.001, 0 hr 53 min
efficientnet_v2_s,1,29,0.42167938650933456,0.5278201856433529,0.7465753424657534,0.001, 0 hr 55 min
efficientnet_v2_s,1,30,0.4266878375679638,0.5348103742485177,0.7363013698630136,0.0005, 0 hr 57 min
efficientnet_v2_s,1,31,0.39965150074897404,0.5155683759957144,0.7465753424657534,0.0005, 0 hr 59 min
efficientnet_v2_s,1,32,0.37509617255481015,0.4891244258782635,0.773972602739726,0.0005, 1 hr 01 min
efficientnet_v2_s,1,33,0.4034143812155007,0.5091696677550878,0.7431506849315068,0.0005, 1 hr 03 min
efficientnet_v2_s,1,34,0.4098879922101426,0.4789873916808873,0.773972602739726,0.0005, 1 hr 05 min
efficientnet_v2_s,1,35,0.4183231892759708,0.487378426202356,0.7876712328767123,0.0005, 1 hr 06 min
efficientnet_v2_s,1,36,0.38334949633082605,0.5072176060447954,0.75,0.0005, 1 hr 08 min
efficientnet_v2_s,1,37,0.3934277463368592,0.48595447960781724,0.773972602739726,0.0005, 1 hr 10 min
efficientnet_v2_s,1,38,0.37572101369947836,0.514942294726633,0.7363013698630136,0.0005, 1 hr 12 min
efficientnet_v2_s,1,39,0.370157442763128,0.5197011881495175,0.75,0.0005, 1 hr 14 min
efficientnet_v2_s,1,40,0.41224155707420707,0.48574842206419333,0.7773972602739726,0.0005, 1 hr 16 min
efficientnet_v2_s,1,41,0.3389950184607199,0.5343058446090515,0.7431506849315068,0.0005, 1 hr 18 min
efficientnet_v2_s,1,42,0.35487934256316256,0.4931294417952838,0.7808219178082192,0.0005, 1 hr 19 min
efficientnet_v2_s,1,43,0.34801532724000867,0.5052031954265621,0.7568493150684931,0.0005, 1 hr 21 min
efficientnet_v2_s,1,44,0.3332290071530403,0.5005299673505026,0.773972602739726,0.0005, 1 hr 23 min
efficientnet_v2_s,1,45,0.37821056909315576,0.49770782112258755,0.7671232876712328,0.0005, 1 hr 25 min
efficientnet_v2_s,1,46,0.38571160346141703,0.5273078822926299,0.7568493150684931,0.0005, 1 hr 27 min
efficientnet_v2_s,1,47,0.36721003452084094,0.5239667576061536,0.7602739726027397,0.0005, 1 hr 29 min
efficientnet_v2_s,1,48,0.2951827962766901,0.504993521391529,0.7671232876712328,0.0005, 1 hr 31 min
efficientnet_v2_s,1,49,0.34229227442598137,0.5249431633377728,0.7671232876712328,0.0005, 1 hr 32 min
efficientnet_v2_s,1,50,0.32583091251328267,0.5269769973134342,0.7602739726027397,0.0005, 1 hr 34 min
efficientnet_v2_s,1,51,0.3527312896794004,0.5230734423823553,0.773972602739726,0.0005, 1 hr 36 min
efficientnet_v2_s,1,52,0.36065244326775675,0.48989873695863434,0.7773972602739726,0.0005, 1 hr 38 min
efficientnet_v2_s,1,53,0.3372871170739759,0.5047009183119421,0.7705479452054794,0.0005, 1 hr 40 min
efficientnet_v2_s,1,54,0.34616545778999,0.48632145274991856,0.7808219178082192,0.0005, 1 hr 42 min
efficientnet_v2_s,1,55,0.3085126259296237,0.497861141619617,0.7636986301369862,0.0005, 1 hr 44 min
efficientnet_v2_s,1,56,0.3034650261821665,0.5153321315572686,0.7808219178082192,0.0005, 1 hr 45 min
efficientnet_v2_s,1,57,0.30808476120105627,0.5052240872628069,0.7671232876712328,0.0005, 1 hr 47 min
efficientnet_v2_s,1,58,0.2953632594817698,0.5549032778976715,0.7534246575342465,0.0005, 1 hr 49 min
efficientnet_v2_s,1,59,0.3341450540804556,0.5297091182780592,0.7842465753424657,0.0005, 1 hr 51 min
efficientnet_v2_s,1,60,0.29949209337070776,0.4925160385566215,0.7705479452054794,0.00025, 1 hr 53 min
efficientnet_v2_s,1,61,0.29603309887161583,0.4942695541332846,0.7636986301369862,0.00025, 1 hr 55 min
efficientnet_v2_s,1,62,0.2817801790687659,0.5035816602510949,0.7671232876712328,0.00025, 1 hr 57 min
efficientnet_v2_s,1,63,0.3002465873509006,0.5047745759764762,0.7705479452054794,0.00025, 1 hr 58 min
efficientnet_v2_s,1,64,0.33052284512908675,0.524050282288904,0.7773972602739726,0.00025, 2 hr 00 min
efficientnet_v2_s,1,65,0.2686798964447218,0.5252372928678173,0.773972602739726,0.00025, 2 hr 02 min
efficientnet_v2_s,1,66,0.2746137670565061,0.5185604138325338,0.7773972602739726,0.00025, 2 hr 04 min
efficientnet_v2_s,1,67,0.2744729705634547,0.5227313051893286,0.7671232876712328,0.00025, 2 hr 06 min
efficientnet_v2_s,1,68,0.2648835852166614,0.5164158742313516,0.7842465753424657,0.00025, 2 hr 08 min
efficientnet_v2_s,1,69,0.27353979964368846,0.508193338774655,0.773972602739726,0.00025, 2 hr 10 min
efficientnet_v2_s,1,70,0.29881086834254694,0.5188064479256329,0.773972602739726,0.00025, 2 hr 11 min
efficientnet_v2_s,1,71,0.2729166268982601,0.5143478033069062,0.7671232876712328,0.00025, 2 hr 13 min
efficientnet_v2_s,1,72,0.27997703956432096,0.532491948302478,0.7773972602739726,0.00025, 2 hr 15 min
efficientnet_v2_s,1,73,0.33553982047052344,0.5078464201460146,0.7636986301369862,0.00025, 2 hr 17 min
efficientnet_v2_s,1,74,0.27385824581072565,0.5288560049582834,0.7773972602739726,0.00025, 2 hr 19 min
efficientnet_v2_s,1,75,0.280010599358399,0.48881283606568426,0.7705479452054794,0.00025, 2 hr 21 min
efficientnet_v2_s,1,76,0.2799152574186161,0.5619032629956938,0.75,0.00025, 2 hr 23 min
efficientnet_v2_s,1,77,0.2806877968648984,0.5202914282475433,0.7773972602739726,0.00025, 2 hr 24 min
efficientnet_v2_s,1,78,0.27399308840092673,0.5134782274700191,0.7671232876712328,0.00025, 2 hr 26 min
efficientnet_v2_s,1,79,0.2471704211869465,0.49931757764457024,0.7705479452054794,0.00025, 2 hr 28 min
efficientnet_v2_s,1,80,0.2729908557920497,0.5410644581464872,0.7568493150684931,0.00025, 2 hr 30 min
efficientnet_v2_s,1,81,0.2710527686602056,0.5108667050730692,0.7773972602739726,0.00025, 2 hr 32 min
efficientnet_v2_s,1,82,0.2687001874006869,0.5159177420890495,0.7808219178082192,0.00025, 2 hr 34 min
efficientnet_v2_s,1,83,0.24939098461758938,0.5242880852255103,0.7773972602739726,0.00025, 2 hr 36 min
efficientnet_v2_s,1,84,0.2871264699063076,0.5030433545782141,0.773972602739726,0.00025, 2 hr 37 min
efficientnet_v2_s,1,85,0.2780245726328551,0.5084756967956072,0.7808219178082192,0.00025, 2 hr 39 min
efficientnet_v2_s,1,86,0.28975985455666486,0.5388069530464199,0.7671232876712328,0.00025, 2 hr 41 min
efficientnet_v2_s,1,87,0.28635024563948996,0.49701561237851233,0.7671232876712328,0.00025, 2 hr 43 min
efficientnet_v2_s,1,88,0.25491951619606673,0.5078750058804473,0.7808219178082192,0.00025, 2 hr 45 min
efficientnet_v2_s,1,89,0.26493881961306787,0.5087998121568601,0.773972602739726,0.00025, 2 hr 47 min
efficientnet_v2_s,1,90,0.26083712792703523,0.5040166169813235,0.7671232876712328,0.000125, 2 hr 49 min
efficientnet_v2_s,1,91,0.2526714788613913,0.5536603203987422,0.7705479452054794,0.000125, 2 hr 50 min
efficientnet_v2_s,1,92,0.27145251698248374,0.5151873602442545,0.7705479452054794,0.000125, 2 hr 52 min
efficientnet_v2_s,1,93,0.2563054542173132,0.5237339894249015,0.7602739726027397,0.000125, 2 hr 54 min
efficientnet_v2_s,1,94,0.24802972948090712,0.530362196368714,0.7705479452054794,0.000125, 2 hr 56 min
efficientnet_v2_s,1,95,0.2525198636648481,0.511745884198032,0.773972602739726,0.000125, 2 hr 58 min
efficientnet_v2_s,1,96,0.25339610939245877,0.530917726048868,0.7671232876712328,0.000125, 3 hr 00 min
efficientnet_v2_s,1,97,0.24404764807275436,0.5039668975219335,0.7671232876712328,0.000125, 3 hr 02 min
efficientnet_v2_s,1,98,0.22131251002074312,0.5159291863849719,0.7671232876712328,0.000125, 3 hr 03 min
efficientnet_v2_s,1,99,0.2635502622362882,0.5174304708226086,0.7705479452054794,0.000125, 3 hr 05 min
efficientnet_v2_s,1,100,0.2758576892092504,0.5129293995360805,0.773972602739726,0.000125, 3 hr 07 min
efficientnet_v2_s,1,101,0.26277843159923225,0.5015820205619891,0.7671232876712328,0.000125, 3 hr 09 min
efficientnet_v2_s,1,102,0.25567114018063686,0.5277961847716814,0.7671232876712328,0.000125, 3 hr 11 min
efficientnet_v2_s,1,103,0.24336958100355746,0.5152243763616641,0.7773972602739726,0.000125, 3 hr 13 min
efficientnet_v2_s,1,104,0.24887116979887558,0.5172002148138334,0.7705479452054794,0.000125, 3 hr 15 min
efficientnet_v2_s,1,105,0.2296537639373362,0.5183316622286627,0.7636986301369862,0.000125, 3 hr 16 min
efficientnet_v2_s,1,106,0.2421323254000987,0.5133148566500781,0.7671232876712328,0.000125, 3 hr 18 min
efficientnet_v2_s,1,107,0.2187818996896048,0.547348001231886,0.7602739726027397,0.000125, 3 hr 20 min
efficientnet_v2_s,1,108,0.2435359755299122,0.5558566582733637,0.7568493150684931,0.000125, 3 hr 22 min
efficientnet_v2_s,1,109,0.2636912209153687,0.5602978212784414,0.7602739726027397,0.000125, 3 hr 24 min
efficientnet_v2_s,1,110,0.24946272777385467,0.5314838420854856,0.7671232876712328,0.000125, 3 hr 26 min
efficientnet_v2_s,1,111,0.2254790809277301,0.5497905937572048,0.7568493150684931,0.000125, 3 hr 28 min
efficientnet_v2_s,1,112,0.25181991956776306,0.517641982803606,0.7568493150684931,0.000125, 3 hr 29 min
efficientnet_v2_s,1,113,0.2420959109784196,0.5067397019226257,0.7636986301369862,0.000125, 3 hr 31 min
efficientnet_v2_s,1,114,0.209834107174638,0.5116759446794039,0.7636986301369862,0.000125, 3 hr 33 min
efficientnet_v2_s,1,115,0.2360919320404274,0.5085636203827923,0.7602739726027397,0.000125, 3 hr 35 min
efficientnet_v2_s,1,116,0.2063318398313461,0.5283430708597784,0.7705479452054794,0.000125, 3 hr 37 min
efficientnet_v2_s,1,117,0.22108777219133827,0.5273040969894357,0.7671232876712328,0.000125, 3 hr 39 min
efficientnet_v2_s,1,118,0.21626608274525327,0.5495459117913899,0.773972602739726,0.000125, 3 hr 41 min
efficientnet_v2_s,1,119,0.241212504705646,0.5220624118635099,0.7705479452054794,0.000125, 3 hr 42 min
