model,fold,epoch,train_loss,val_loss,val_acc,lr,elapsed
resnet50,1,0,1.1539579922549204,0.9994592927906611,0.5136986301369862,0.001, 0 hr 01 min
resnet50,1,1,1.003754199727922,0.994574737058927,0.4691780821917808,0.001, 0 hr 03 min
resnet50,1,2,0.8958819052692135,0.8807311858216377,0.5753424657534246,0.001, 0 hr 05 min
resnet50,1,3,0.7984152465930824,0.9179099785954985,0.5993150684931506,0.001, 0 hr 07 min
resnet50,1,4,0.7239074456333603,0.706961549308202,0.6643835616438356,0.001, 0 hr 08 min
resnet50,1,5,0.6861968694326703,0.7085669257052957,0.6815068493150684,0.001, 0 hr 10 min
resnet50,1,6,0.6430411475410789,0.7310823883912335,0.6575342465753424,0.001, 0 hr 12 min
resnet50,1,7,0.5469988466844027,0.652020199453994,0.7020547945205479,0.001, 0 hr 14 min
resnet50,1,8,0.5311149407354036,0.6119741701508221,0.7226027397260274,0.001, 0 hr 15 min
resnet50,1,9,0.5275506407150383,0.5987700795474118,0.7294520547945205,0.001, 0 hr 17 min
resnet50,1,10,0.508843204622105,0.6088912574803993,0.7431506849315068,0.001, 0 hr 19 min
resnet50,1,11,0.4407175493342682,0.626734962304161,0.7191780821917808,0.001, 0 hr 21 min
resnet50,1,12,0.49279654230682635,0.5678711754001983,0.7602739726027397,0.001, 0 hr 22 min
resnet50,1,13,0.43099049557432084,0.5868388987975578,0.7636986301369862,0.001, 0 hr 24 min
resnet50,1,14,0.4251434533892783,0.6303215328961203,0.75,0.001, 0 hr 26 min
resnet50,1,15,0.38782958133793694,0.5739809515541547,0.7568493150684931,0.001, 0 hr 28 min
resnet50,1,16,0.3977223090092,0.5334265262705006,0.7534246575342465,0.001, 0 hr 30 min
resnet50,1,17,0.3829030839158742,0.5485719517893988,0.7808219178082192,0.001, 0 hr 31 min
resnet50,1,18,0.3734735180507914,0.5819657089775556,0.7705479452054794,0.001, 0 hr 33 min
resnet50,1,19,0.3570216462335873,0.5871255385549101,0.7568493150684931,0.001, 0 hr 35 min
resnet50,1,20,0.30975888558211756,0.5817119165846746,0.773972602739726,0.001, 0 hr 37 min
resnet50,1,21,0.34271193814379974,0.5455164378636503,0.7842465753424657,0.001, 0 hr 39 min
resnet50,1,22,0.3478188025465339,0.530568065198317,0.7808219178082192,0.001, 0 hr 40 min
resnet50,1,23,0.2953462450289419,0.5499519256696309,0.773972602739726,0.001, 0 hr 42 min
resnet50,1,24,0.27332613567937597,0.5728186824142116,0.75,0.001, 0 hr 44 min
resnet50,1,25,0.28409664073215535,0.5103049259887983,0.797945205479452,0.001, 0 hr 46 min
resnet50,1,26,0.2621060923957006,0.5923270860763445,0.7773972602739726,0.001, 0 hr 47 min
resnet50,1,27,0.2411923895705923,0.5621278886109182,0.797945205479452,0.001, 0 hr 49 min
resnet50,1,28,0.21731845199294356,0.5702360245871217,0.7876712328767123,0.001, 0 hr 51 min
resnet50,1,29,0.2274000621852445,0.5800783830146267,0.8013698630136986,0.001, 0 hr 53 min
resnet50,1,30,0.22183064143033498,0.5841370186168854,0.7910958904109588,0.0005, 0 hr 55 min
resnet50,1,31,0.17213238499451092,0.5942277732777269,0.797945205479452,0.0005, 0 hr 56 min
resnet50,1,32,0.21186007923834313,0.5701791972738423,0.797945205479452,0.0005, 0 hr 58 min
resnet50,1,33,0.1833010780005496,0.5810546064621782,0.7945205479452054,0.0005, 1 hr 00 min
resnet50,1,34,0.15432956420812485,0.6076671044303946,0.7945205479452054,0.0005, 1 hr 02 min
resnet50,1,35,0.1967550709523868,0.5900052428653796,0.7773972602739726,0.0005, 1 hr 03 min
resnet50,1,36,0.199159723833651,0.5843349427801289,0.7842465753424657,0.0005, 1 hr 05 min
resnet50,1,37,0.16955338726739516,0.6233139540234657,0.7842465753424657,0.0005, 1 hr 07 min
resnet50,1,38,0.17278328665847942,0.6199398718468131,0.7773972602739726,0.0005, 1 hr 09 min
resnet50,1,39,0.16844110931449693,0.6423490255662839,0.7808219178082192,0.0005, 1 hr 11 min
